id,source_page,column,cer,cer_greedy,ref_len,n_sub,n_del,n_ins,has_numeral,has_abbrev_mark,ref,pred_greedy,pred_beam
column_2/line_020,page_0400_human,2,1.2,1.2,5,0,0,6,False,True,թիւն։,թթթթթժիւնն։,թթթթթժիւնն։
column_1/line_022,page_0400_human,1,1.0,1.0,6,1,0,5,False,True,Խաչին։,Հ ՍՍԽաչին--,Հ ՍՍԽաչին--
column_1/line_010,page_0400_human,1,0.6666666666666666,0.6666666666666666,9,1,0,5,False,True,Գալստեան։,ԶԶԳԳԳԳայստեան։,ԶԶԳԳԳԳայստեան։
column_1/line_025,page_0400_human,1,0.42857142857142855,0.42857142857142855,7,0,0,3,False,True,աղեղան։,ատտաղեղան։,ատտաղեղան։
column_1/line_002,page_0400_human,1,0.4,0.4,10,0,3,1,False,True,նա ՚ի քեզ։,ննաիքեզ։,ննաիքեզ։
column_1/line_017,page_0400_human,1,0.4,0.4,10,0,0,4,False,True,Եկեղեցւոյ։,ՕԵՕԵԵկեղեցւոյ։,ՕԵՕԵԵկեղեցւոյ։
column_1/line_028,page_0400_human,1,0.4,0.4,10,0,0,4,False,True,Կիրակամտի։,ՍՍնկԿիրակամտի։,ՍՍնկԿիրակամտի։
column_2/line_028,page_0400_human,2,0.4,0.4,10,0,0,4,False,True,ցիս սրբոց։,ԶԶցցցիս սրբոց։,ԶԶցցցիս սրբոց։
column_1/line_034,page_0400_human,1,0.2727272727272727,0.2727272727272727,11,0,0,3,False,True,Մարտիրոսաց։,ՄՄՄՄարտիրոսաց։,ՄՄՄՄարտիրոսաց։
column_2/line_012,page_0400_human,2,0.2222222222222222,0.2222222222222222,9,1,0,1,False,True,իսրայելի։,խԻսրայելի։,խԻսրայելի։
column_1/line_009,page_0400_human,1,0.1875,0.1875,16,1,2,0,False,True,՚ի մուտս արեւու։,Իմուտս արեւու։,Իմուտս արեւու։
column_1/line_019,page_0400_human,1,0.125,0.125,16,1,0,1,False,True,ռայք տեառն զտէր։,ռռալք տեառն զտէր։,ռռալք տեառն զտէր։
column_1/line_030,page_0400_human,1,0.11764705882352941,0.11764705882352941,17,0,0,2,False,True,ձայն աղօթից իմոց։,ձձձայն աղօթից իմոց։,ձձձայն աղօթից իմոց։
column_1/line_020,page_0400_human,1,0.08,0.08,25,0,2,0,False,True,"Ո կայք ՚ի տան տեառն, և ՚ի","Ո կայք ի տան տեառն, և ի","Ո կայք ի տան տեառն, և ի"
column_2/line_029,page_0400_human,2,0.08,0.08,25,1,1,0,False,False,"Սիրեցից զքեզ, տէր, զօրու-","Արեցից զքեզ, տէր, զօրու-","Արեցից զքեզ, տէր, զօրու-"
column_2/line_002,page_0400_human,2,0.07692307692307693,0.07692307692307693,13,0,1,0,False,True,սացաք ՚ի քեզ։,սացաք ի քեզ։,սացաք ի քեզ։
column_2/line_007,page_0400_human,2,0.07692307692307693,0.07692307692307693,26,0,2,0,False,True,Փրկութիւն արդարոց ՚ի տեառ-,Փրկութիւն արդարոց իտեառ-,Փրկութիւն արդարոց իտեառ-
column_2/line_015,page_0400_human,2,0.043478260869565216,0.043478260869565216,23,1,0,0,False,True,Օգնութիւն ինձ ՚ի տեառնէ,Օգնութիւն ինձ 'ի տեառնէ,Օգնութիւն ինձ 'ի տեառնէ
column_2/line_033,page_0400_human,2,0.043478260869565216,0.043478260869565216,23,0,1,0,True,True,ես յուսամ ՚ի նա. ապաւէն,ես յուսամ ի նա. ապաւէն,ես յուսամ ի նա. ապաւէն
column_2/line_001,page_0400_human,2,0.041666666666666664,0.041666666666666664,24,0,1,0,True,True,՚ի վերայ մեր. որպէս յու-,ի վերայ մեր. որպէս յու-,ի վերայ մեր. որպէս յու-
column_2/line_003,page_0400_human,2,0.041666666666666664,0.041666666666666664,24,0,1,0,True,True,"Ցնծացէք, արդարք, ՚ի տէր.","Ցնծացէք, արդարք, ի տէր.","Ցնծացէք, արդարք, ի տէր."
column_1/line_029,page_0400_human,1,0.04,0.04,25,1,0,0,False,True,Սիրեցի՝ զի լուիցէ տէր ըզ-,Միրեցի՝ զի լուիցէ տէր ըզ-,Միրեցի՝ զի լուիցէ տէր ըզ-
column_2/line_004,page_0400_human,2,0.04,0.04,25,0,0,1,False,True,ուղղոց վայելէ օրհնութիւն։,ուղղոց վայել է օրհնութիւն։,ուղղոց վայել է օրհնութիւն։
column_2/line_008,page_0400_human,2,0.04,0.04,25,1,0,0,True,True,նէ է. վերակացու է նոցա ՚ի,նէ է. վերակացու է նոցա 'ի,նէ է. վերակացու է նոցա 'ի
column_2/line_010,page_0400_human,2,0.04,0.04,25,0,1,0,False,True,Սքանչելի է աստուած ՚ի վե-,Սքանչելի է աստուած ի վե-,Սքանչելի է աստուած ի վե-
column_2/line_022,page_0400_human,2,0.04,0.04,25,1,0,0,False,True,"՚ի խորհուրդս սրբոց իւրոց,","'ի խորհուրդս սրբոց իւրոց,","'ի խորհուրդս սրբոց իւրոց,"
column_2/line_023,page_0400_human,2,0.04,0.04,25,0,1,0,False,True,մեծ և ահաւոր ՚ի վերայ այ-,մեծ և ահաւոր ի վերայ այ-,մեծ և ահաւոր ի վերայ այ-
column_2/line_018,page_0400_human,2,0.037037037037037035,0.037037037037037035,27,0,1,0,False,True,"Համբարձի զաչս իմ ՚ի լերինս,","Համբարձի զաչս իմ ի լերինս,","Համբարձի զաչս իմ ի լերինս,"
column_1/line_001,page_0400_human,1,0.0,0.0,26,0,0,0,False,False,"մարդոյ, զոր զօրացուցեր ըզ-","մարդոյ, զոր զօրացուցեր ըզ-","մարդոյ, զոր զօրացուցեր ըզ-"
column_1/line_003,page_0400_human,1,0.0,0.0,25,0,0,0,False,True,Որ հովուեսդ իսրայելի՝ նա-,Որ հովուեսդ իսրայելի՝ նա-,Որ հովուեսդ իսրայելի՝ նա-
column_1/line_004,page_0400_human,1,0.0,0.0,25,0,0,0,False,False,"յեաց, որ առաջնորդես որպէս","յեաց, որ առաջնորդես որպէս","յեաց, որ առաջնորդես որպէս"
column_1/line_005,page_0400_human,1,0.0,0.0,15,0,0,0,False,True,խաշին յովսեփու։,խաշին յովսեփու։,խաշին յովսեփու։
column_1/line_006,page_0400_human,1,0.0,0.0,20,0,0,0,False,False,Աստուած աստուծոց տէր,Աստուած աստուծոց տէր,Աստուած աստուծոց տէր
column_1/line_007,page_0400_human,1,0.0,0.0,25,0,0,0,False,True,"խօսեցաւ, և կոչեաց զերկիր։","խօսեցաւ, և կոչեաց զերկիր։","խօսեցաւ, և կոչեաց զերկիր։"
column_1/line_008,page_0400_human,1,0.0,0.0,22,0,0,0,False,False,Յելիցն արեգական մինչեւ,Յելիցն արեգական մինչեւ,Յելիցն արեգական մինչեւ
column_1/line_011,page_0400_human,1,0.0,0.0,21,0,0,0,False,False,Օրհնեալ որ գաս յանուն,Օրհնեալ որ գաս յանուն,Օրհնեալ որ գաս յանուն
column_1/line_012,page_0400_human,1,0.0,0.0,27,0,0,0,False,True,"տեառն, օրհնեալ որ գալոց ես։","տեառն, օրհնեալ որ գալոց ես։","տեառն, օրհնեալ որ գալոց ես։"
column_1/line_013,page_0400_human,1,0.0,0.0,22,0,0,0,False,False,Տէր աստուած մեր երեւե-,Տէր աստուած մեր երեւե-,Տէր աստուած մեր երեւե-
column_1/line_014,page_0400_human,1,0.0,0.0,24,0,0,0,True,False,ցաւ մեզ. արարէք տօնս ու-,ցաւ մեզ. արարէք տօնս ու-,ցաւ մեզ. արարէք տօնս ու-
column_1/line_015,page_0400_human,1,0.0,0.0,22,0,0,0,False,False,"րախութեան կանխաւ, մին-","րախութեան կանխաւ, մին-","րախութեան կանխաւ, մին-"
column_1/line_016,page_0400_human,1,0.0,0.0,21,0,0,0,False,True,չեւ յանկիւնս սեղանոյ։,չեւ յանկիւնս սեղանոյ։,չեւ յանկիւնս սեղանոյ։
column_1/line_018,page_0400_human,1,0.0,0.0,24,0,0,0,False,False,Աստ օրհնեցէք ամենայն ծա-,Աստ օրհնեցէք ամենայն ծա-,Աստ օրհնեցէք ամենայն ծա-
column_1/line_021,page_0400_human,1,0.0,0.0,22,0,0,0,False,True,գաւիթս աստուծոյ մերոյ։,գաւիթս աստուծոյ մերոյ։,գաւիթս աստուծոյ մերոյ։
column_1/line_023,page_0400_human,1,0.0,0.0,24,0,0,0,False,False,Ետուր երկիւղածաց քոց նը-,Ետուր երկիւղածաց քոց նը-,Ետուր երկիւղածաց քոց նը-
column_1/line_024,page_0400_human,1,0.0,0.0,24,0,0,0,False,False,"շան, զի ապրեսցին յերեսաց","շան, զի ապրեսցին յերեսաց","շան, զի ապրեսցին յերեսաց"
column_1/line_026,page_0400_human,1,0.0,0.0,25,0,0,0,False,False,"Որպէս փրկեցան սիրելիք քո,","Որպէս փրկեցան սիրելիք քո,","Որպէս փրկեցան սիրելիք քո,"
column_1/line_027,page_0400_human,1,0.0,0.0,24,0,0,0,False,True,կեցո աջով քո և լուր մեզ։,կեցո աջով քո և լուր մեզ։,կեցո աջով քո և լուր մեզ։
column_1/line_031,page_0400_human,1,0.0,0.0,25,0,0,0,False,False,Զի խոնարհեցոյց զունկն իւր,Զի խոնարհեցոյց զունկն իւր,Զի խոնարհեցոյց զունկն իւր
column_1/line_032,page_0400_human,1,0.0,0.0,23,0,0,0,False,False,"առ իս, եւ ես յաւուրս իմ","առ իս, եւ ես յաւուրս իմ","առ իս, եւ ես յաւուրս իմ"
column_1/line_033,page_0400_human,1,0.0,0.0,14,0,0,0,False,True,կարդացի առ նա։,կարդացի առ նա։,կարդացի առ նա։
column_1/line_035,page_0400_human,1,0.0,0.0,26,0,0,0,False,False,"Եղիցի ողորմութիւն քո, տէր,","Եղիցի ողորմութիւն քո, տէր,","Եղիցի ողորմութիւն քո, տէր,"
column_2/line_005,page_0400_human,2,0.0,0.0,28,0,0,0,False,False,"Տէր սիրէ զիրաւունս, և ոչ ընդ","Տէր սիրէ զիրաւունս, և ոչ ընդ","Տէր սիրէ զիրաւունս, և ոչ ընդ"
column_2/line_006,page_0400_human,2,0.0,0.0,25,0,0,0,False,True,վայր հարկանէ զսուրբս իւր։,վայր հարկանէ զսուրբս իւր։,վայր հարկանէ զսուրբս իւր։
column_2/line_009,page_0400_human,2,0.0,0.0,19,0,0,0,False,True,ժամանակս նեղութեան։,ժամանակս նեղութեան։,ժամանակս նեղութեան։
column_2/line_011,page_0400_human,2,0.0,0.0,24,0,0,0,False,False,"րայ սրբոց իւրոց, աստուած","րայ սրբոց իւրոց, աստուած","րայ սրբոց իւրոց, աստուած"
column_2/line_013,page_0400_human,2,0.0,0.0,25,0,0,0,False,False,"Տէր աստուած օրհնեալ, օրհ-","Տէր աստուած օրհնեալ, օրհ-","Տէր աստուած օրհնեալ, օրհ-"
column_2/line_014,page_0400_human,2,0.0,0.0,22,0,0,0,False,True,նեալ է տէր զօրհանապազ։,նեալ է տէր զօրհանապազ։,նեալ է տէր զօրհանապազ։
column_2/line_016,page_0400_human,2,0.0,0.0,23,0,0,0,False,False,"եկեսցէ, որ արար զերկինս","եկեսցէ, որ արար զերկինս","եկեսցէ, որ արար զերկինս"
column_2/line_017,page_0400_human,2,0.0,0.0,10,0,0,0,False,True,եւ զերկիր։,եւ զերկիր։,եւ զերկիր։
column_2/line_019,page_0400_human,2,0.0,0.0,23,0,0,0,False,False,ուստի եկեսցէ ինձ օգնու-,ուստի եկեսցէ ինձ օգնու-,ուստի եկեսցէ ինձ օգնու-
column_2/line_021,page_0400_human,2,0.0,0.0,20,0,0,0,False,False,Աստուած փառաւորեալ է,Աստուած փառաւորեալ է,Աստուած փառաւորեալ է
column_2/line_024,page_0400_human,2,0.0,0.0,27,0,0,0,False,True,"նոցիկ, որք շուրջ են զնովաւ։","նոցիկ, որք շուրջ են զնովաւ։","նոցիկ, որք շուրջ են զնովաւ։"
column_2/line_025,page_0400_human,2,0.0,0.0,22,0,0,0,False,False,Խոստովան եղիցին երկինք,Խոստովան եղիցին երկինք,Խոստովան եղիցին երկինք
column_2/line_026,page_0400_human,2,0.0,0.0,23,0,0,0,False,False,"սքանչելեաց քոց, տէր, եւ","սքանչելեաց քոց, տէր, եւ","սքանչելեաց քոց, տէր, եւ"
column_2/line_027,page_0400_human,2,0.0,0.0,23,0,0,0,False,False,ճշմարտութիւն քո յեկեղե-,ճշմարտութիւն քո յեկեղե-,ճշմարտութիւն քո յեկեղե-
